
Please build project in debug configuration to get more details about an exception.
See https://docs.platformio.org/page/projectconf/build_configurations.html


--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
I 00:06:19.712 |        main.cpp: 194 |  free heap size: 34436 biggest block : 30720 
I 00:06:20.726 |        main.cpp: 194 |  free heap size: 32936 biggest block : 30720 
I 00:06:21.737 |        main.cpp: 194 |  free heap size: 32948 biggest block : 30720 
I 00:06:22.749 |        main.cpp: 194 |  free heap size: 32948 biggest block : 30720 
I 00:06:23.762 |        main.cpp: 194 |  free heap size: 32936 biggest block : 30720 
I 00:06:24.773 |        main.cpp: 194 |  free heap size: 32708 biggest block : 30720 
I 00:06:25.788 |        main.cpp: 194 |  free heap size: 32696 biggest block : 30720 
I 00:06:26.799 |        main.cpp: 194 |  free heap size: 32696 biggest block : 30720 
I 00:06:27.811 |        main.cpp: 194 |  free heap size: 32708 biggest block : 30720 
I 00:06:28.822 |        main.cpp: 194 |  free heap size: 32936 biggest block : 30720 
I 00:06:29.833 |        main.cpp: 194 |  free heap size: 32936 biggest block : 30720 
I 00:06:30.844 |        main.cpp: 194 |  free heap size: 32948 biggest block : 30720 
I 00:06:31.856 |        main.cpp: 194 |  free heap size: 32948 biggest block : 29696 
I 00:06:32.870 |        main.cpp: 194 |  free heap size: 34504 biggest block : 30720 
I 00:06:33.884 |        main.cpp: 194 |  free heap size: 32696 biggest block : 30720 
I 00:06:34.895 |        main.cpp: 194 |  free heap size: 32696 biggest block : 30720 
I 00:06:35.905 |        main.cpp: 194 |  free heap size: 32696 biggest block : 30720 
I 00:06:36.916 |        main.cpp: 194 |  free heap size: 32708 biggest block : 29696 
I 00:06:37.928 |        main.cpp: 194 |  free heap size: 34504 biggest block : 30720 
I 00:06:38.940 |        main.cpp: 194 |  free heap size: 32752 biggest block : 30720 
I 00:06:39.948 |        main.cpp: 194 |  free heap size: 32948 biggest block : 30720 
I 00:06:40.964 |        main.cpp: 194 |  free heap size: 34504 biggest block : 30720 
I 00:06:41.977 |        main.cpp: 194 |  free heap size: 27460 biggest block : 25600 
I 00:06:42.468 |   ps4_actor.cpp: 134 | custom: device connected: 0x3ffd0db4
  #0  0x3ffd0db4 in ?? at /home/lieven/workspace/bluepad32/src/components/bluepad32/uni_hid_device.c:55

I 00:06:42.478 |        main.cpp: 139 | DEVICE_CONNECTED
I 00:06:42.853 |   ps4_actor.cpp: 148 | custom: device ready: 0x3ffd0db4
  #0  0x3ffd0db4 in ?? at /home/lieven/workspace/bluepad32/src/components/bluepad32/uni_hid_device.c:55

I 00:06:42.862 |        main.cpp: 145 | DEVICE_READY
I 00:06:43.002 |        main.cpp: 194 |  free heap size: 24796 biggest block : 23552 
I 00:06:44.020 |        main.cpp: 194 |  free heap size: 19496 biggest block : 18432 
I 00:06:45.031 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:06:46.040 |        main.cpp: 194 |  free heap size: 24940 biggest block : 22528 
I 00:06:47.056 |        main.cpp: 194 |  free heap size: 26728 biggest block : 25600 
I 00:06:48.084 |        main.cpp: 194 |  free heap size: 23128 biggest block : 22528 
I 00:06:49.097 |        main.cpp: 194 |  free heap size: 23132 biggest block : 20480 
I 00:06:50.120 |        main.cpp: 194 |  free heap size: 24716 biggest block : 19456 
I 00:06:51.158 |        main.cpp: 194 |  free heap size: 24936 biggest block : 23552 
I 00:06:52.169 |        main.cpp: 194 |  free heap size: 28528 biggest block : 26624 
I 00:06:53.186 |        main.cpp: 194 |  free heap size: 28548 biggest block : 26624 
I 00:06:54.199 |        main.cpp: 194 |  free heap size: 28784 biggest block : 25600 
I 00:06:55.213 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
